channel,contacts,deals_created,closed_won,win_rate_pct,win_rate_deals_pct,pipeline_dollars,won_dollars,avg_days_to_close
Referral / Partner,1209,977,296,24.48,30.30,60946853.00,18600571.00,94.5
LinkedIn,2498,2082,338,13.53,16.23,90970554.00,14647076.00,90.9
Google Ads,3588,2891,397,11.06,13.73,90663783.00,12599275.00,91.1
Email / In-app,1008,827,174,17.26,21.04,41477529.00,8661202.00,97.5
Webflow / Cantina,1482,1229,199,13.43,16.19,43484332.00,7097851.00,89.9
Organic Search,712,584,119,16.71,20.38,15905277.00,3394873.00,101.5
Direct,580,472,84,14.48,17.80,17848750.00,3151600.00,101.8
X / Twitter,1715,1402,141,8.22,10.06,31232982.00,3098870.00,86.1
Community / Social,1132,918,107,9.45,11.66,17560936.00,2048934.00,94.9
Press / Media,438,353,26,5.94,7.37,5361305.00,419225.00,86.1
Unknown (corrupted UTM),138,115,4,2.90,3.48,1405031.00,44877.00,127.3
