dimension,dimension_value,total_deals,won_count,open_count,lost_count,won_amount,avg_days_to_close
acquisition_channel,Google Ads,2891,397,1752,742,12599275.00,91.1
acquisition_channel,LinkedIn,2082,338,1206,538,14647076.00,90.9
acquisition_channel,Referral / Partner,977,296,498,183,18600571.00,94.5
acquisition_channel,Webflow / Cantina,1229,199,720,310,7097851.00,89.9
acquisition_channel,Email / In-app,827,174,471,182,8661202.00,97.5
acquisition_channel,X / Twitter,1402,141,881,380,3098870.00,86.1
acquisition_channel,Organic Search,584,119,331,134,3394873.00,101.5
acquisition_channel,Community / Social,918,107,571,240,2048934.00,94.9
acquisition_channel,Direct,472,84,271,117,3151600.00,101.8
acquisition_channel,Press / Media,353,26,230,97,419225.00,86.1
acquisition_channel,Unknown (corrupted UTM),115,4,77,34,44877.00,127.3
deal_size_band,$25k-$50k,5724,928,3378,1418,34067880.00,91.2
deal_size_band,$10k-$25k,3706,475,2254,977,8800824.00,92.6
deal_size_band,$50k-$100k,2176,460,1215,501,30707272.00,96.8
deal_size_band,<$10k,244,22,161,61,188378.00,102.2
employee_range,1001-5000,2735,441,1642,652,17628860.00,92.2
employee_range,201-500,2513,369,1491,653,15145390.00,90.1
employee_range,11-50,1443,233,840,370,8976085.00,93.9
employee_range,51-200,1362,230,795,337,8776158.00,94.2
employee_range,501-1000,1218,200,731,287,7816200.00,92.7
employee_range,5001-10000,1193,194,724,275,7114823.00,93.6
employee_range,10001+,793,124,435,234,4598436.00,93.6
employee_range,1-10,593,94,350,149,3708402.00,102.3
industry,Software,1225,220,717,288,8813821.00,96.7
industry,Cryptocurrency/Blockchain,1244,217,720,307,8284432.00,91.0
industry,Consulting,1263,212,721,330,8136077.00,92.5
industry,Media,1219,196,732,291,7126970.00,94.5
industry,Healthcare,1214,196,710,308,8021669.00,94.0
industry,Information Technology,1194,185,704,305,7654107.00,90.2
industry,Retail/E-commerce,1157,175,692,290,6875259.00,90.6
industry,Cybersecurity,1130,171,670,289,6877011.00,97.4
industry,Financial Services,1109,167,667,275,6392344.00,87.6
industry,Manufacturing,1093,146,673,274,5582664.00,95.5
industry,Unknown,2,0,2,0,0,
seniority,Unknown,8340,1330,4940,2070,51844991.00,93.7
seniority,director,879,134,511,234,5418030.00,84.8
seniority,manager,693,119,398,176,4987753.00,89.2
seniority,vp,698,119,416,163,4473631.00,91.7
seniority,senior,494,91,281,122,3456019.00,95.5
seniority,executive,541,64,335,142,2440148.00,103.1
seniority,entry,205,28,127,50,1143782.00,92.6
