deal_id,amount,company_name,industry,hs_employee_range,hs_seniority,acquisition_channel,icp_fit_score,days_open,pts_industry,pts_employee_range,pts_seniority,pts_channel,pts_deal_size,pts_days_open,missing_seniority,missing_industry,missing_employee_range
303286,43314.00,Company 101147,Cryptocurrency/Blockchain,201-500,executive,Referral / Partner,100,63,25,20,20,15,10,10,False,False,False
311183,73574.00,Company 102544,Cryptocurrency/Blockchain,1001-5000,director,Email / In-app,90,108,25,20,20,15,0,10,False,False,False
302533,55359.00,Company 101456,Cryptocurrency/Blockchain,1001-5000,director,Email / In-app,90,103,25,20,20,15,0,10,False,False,False
306783,54851.00,Company 102939,Cryptocurrency/Blockchain,1001-5000,director,Email / In-app,90,100,25,20,20,15,0,10,False,False,False
304919,42994.00,Company 101764,Cryptocurrency/Blockchain,1001-5000,vp,Organic Search,90,174,25,20,20,15,10,0,False,False,False
300648,40784.00,Company 100773,Consulting,1001-5000,vp,Organic Search,90,155,25,20,20,15,10,0,False,False,False
305829,36761.00,Company 102569,Software,201-500,director,Referral / Partner,90,599,25,20,20,15,10,0,False,False,False
303744,35988.00,Company 102743,Cryptocurrency/Blockchain,1001-5000,director,Email / In-app,90,239,25,20,20,15,10,0,False,False,False
307580,35802.00,Company 101974,Cryptocurrency/Blockchain,1001-5000,vp,Email / In-app,90,382,25,20,20,15,10,0,False,False,False
302588,35364.00,Company 101617,Software,201-500,vp,Organic Search,90,496,25,20,20,15,10,0,False,False,False
303721,32930.00,Company 101061,Cryptocurrency/Blockchain,1001-5000,executive,Organic Search,90,270,25,20,20,15,10,0,False,False,False
305861,31869.00,Company 100240,Consulting,201-500,director,Email / In-app,90,191,25,20,20,15,10,0,False,False,False
308277,30107.00,Company 102509,Consulting,1001-5000,executive,Referral / Partner,90,516,25,20,20,15,10,0,False,False,False
303818,29831.00,Company 102665,Software,201-500,director,Organic Search,90,394,25,20,20,15,10,0,False,False,False
306815,29296.00,Company 101765,Consulting,1001-5000,executive,Email / In-app,90,604,25,20,20,15,10,0,False,False,False
307188,28955.00,Company 101757,Consulting,201-500,vp,Email / In-app,90,267,25,20,20,15,10,0,False,False,False
310274,27284.00,Company 100484,Software,201-500,director,Organic Search,90,563,25,20,20,15,10,0,False,False,False
301336,25405.00,Company 102336,Cryptocurrency/Blockchain,201-500,vp,Email / In-app,90,213,25,20,20,15,10,0,False,False,False
303318,23111.00,Company 101743,Cryptocurrency/Blockchain,201-500,director,Organic Search,90,602,25,20,20,15,10,0,False,False,False
307320,22949.00,Company 101523,Consulting,201-500,executive,Email / In-app,90,335,25,20,20,15,10,0,False,False,False
309750,20758.00,Company 102544,Cryptocurrency/Blockchain,1001-5000,director,Organic Search,90,621,25,20,20,15,10,0,False,False,False
304312,19960.00,Company 102162,Cryptocurrency/Blockchain,1001-5000,vp,Organic Search,90,282,25,20,20,15,10,0,False,False,False
304978,14089.00,Company 100211,Cryptocurrency/Blockchain,201-500,executive,Organic Search,90,378,25,20,20,15,10,0,False,False,False
300775,37118.00,Company 100256,Cryptocurrency/Blockchain,201-500,executive,Direct,85,106,25,20,20,0,10,10,False,False,False
308855,35246.00,Company 100217,Cryptocurrency/Blockchain,1001-5000,executive,LinkedIn,85,106,25,20,20,0,10,10,False,False,False
306849,32900.00,Company 100158,Cryptocurrency/Blockchain,1001-5000,executive,Webflow / Cantina,85,77,25,20,20,0,10,10,False,False,False
303725,31064.00,Company 101831,Consulting,201-500,executive,Webflow / Cantina,85,76,25,20,20,0,10,10,False,False,False
306363,27169.00,Company 101812,Software,201-500,vp,Community / Social,85,49,25,20,20,0,10,10,False,False,False
302579,25744.00,Company 102980,Cryptocurrency/Blockchain,1001-5000,director,Google Ads,85,82,25,20,20,0,10,10,False,False,False
303283,22156.00,Company 100413,Cryptocurrency/Blockchain,201-500,executive,X / Twitter,85,90,25,20,20,0,10,10,False,False,False
304615,20625.00,Company 102291,Software,201-500,director,X / Twitter,85,68,25,20,20,0,10,10,False,False,False
303410,20287.00,Company 101566,Cryptocurrency/Blockchain,1001-5000,director,Community / Social,85,59,25,20,20,0,10,10,False,False,False
301735,18717.00,Company 101489,Software,1001-5000,director,LinkedIn,85,84,25,20,20,0,10,10,False,False,False
300279,14457.00,Company 102090,Cryptocurrency/Blockchain,201-500,director,Google Ads,85,119,25,20,20,0,10,10,False,False,False
310053,11044.00,Company 102702,Consulting,1001-5000,director,X / Twitter,85,89,25,20,20,0,10,10,False,False,False
310408,91527.00,Company 102717,Consulting,201-500,director,Referral / Partner,80,588,25,20,20,15,0,0,False,False,False
304643,88554.00,Company 102691,Software,201-500,director,Referral / Partner,80,364,25,20,20,15,0,0,False,False,False
305249,84414.00,Company 102774,Cryptocurrency/Blockchain,201-500,director,Referral / Partner,80,261,25,20,20,15,0,0,False,False,False
310734,83570.00,Company 102597,Cryptocurrency/Blockchain,1001-5000,executive,Referral / Partner,80,428,25,20,20,15,0,0,False,False,False
305168,79893.00,Company 101816,Cryptocurrency/Blockchain,201-500,vp,Email / In-app,80,187,25,20,20,15,0,0,False,False,False
300903,77913.00,Company 101795,Software,201-500,vp,Email / In-app,80,359,25,20,20,15,0,0,False,False,False
308747,76177.00,Company 102670,Software,1001-5000,director,Referral / Partner,80,582,25,20,20,15,0,0,False,False,False
304928,72278.00,Company 101200,Software,201-500,vp,Email / In-app,80,414,25,20,20,15,0,0,False,False,False
311492,70264.00,Company 102052,Software,201-500,vp,Email / In-app,80,202,25,20,20,15,0,0,False,False,False
311281,69155.00,Company 102161,Cryptocurrency/Blockchain,1001-5000,vp,Referral / Partner,80,169,25,20,20,15,0,0,False,False,False
301361,60918.00,Company 101671,Software,201-500,executive,Email / In-app,80,586,25,20,20,15,0,0,False,False,False
303288,60592.00,GitLab,Software,1001-5000,executive,Email / In-app,80,232,25,20,20,15,0,0,False,False,False
306297,57498.00,Company 100830,Consulting,201-500,vp,Email / In-app,80,406,25,20,20,15,0,0,False,False,False
309861,56781.00,Company 101325,Software,1001-5000,director,Email / In-app,80,249,25,20,20,15,0,0,False,False,False
311225,54390.00,Company 101872,Software,201-500,executive,Referral / Partner,80,431,25,20,20,15,0,0,False,False,False
